(0.366597,-0.701419)
(0.341197,0.144689)
(0.890649,-0.494668)
(0.0560968,-0.346613)
(0.791999,0.0719503)
(0.487731,-0.714726)
(0.223176,0.0894815)
(0.938577,-0.361773)
(0.0982952,-0.466394)
(0.679066,0.151062)
(0.622239,-0.690891)
(0.13251,0.000248761)
(0.955772,-0.220203)
(0.183102,-0.57907)
(0.545694,0.185044)
(0.746112,-0.632573)
(0.0687483,-0.125668)
(0.911723,-0.0812398)
(0.291654,-0.647529)
(0.410577,0.183151)
(0.844427,-0.531331)
(0.0558525,-0.252762)
(0.841229,0.034584)
(0.417112,-0.683936)
(0.288671,0.141993)
(0.913269,-0.413674)
(0.0767096,-0.38229)
(0.739481,0.126637)
(0.550388,-0.684428)
(0.180745,0.0635181)
(0.941528,-0.277697)
(0.136286,-0.49921)
(0.61079,0.184771)
(0.676519,-0.636691)
(0.107852,-0.0396494)
(0.928392,-0.139641)
(0.230346,-0.584081)
(0.485154,0.20464)
(0.79084,-0.564089)
(0.0659948,-0.167429)
(0.870708,-0.0124069)
(0.34484,-0.635148)
(0.359398,0.185008)
(0.872033,-0.458444)
(0.0651453,-0.288032)
(0.794389,0.096715)
(0.477833,-0.66116)
(0.240516,0.12382)
(0.918911,-0.330038)
(0.105392,-0.406362)
(0.686083,0.172839)
(0.60725,-0.642174)
(0.149625,0.0373491)
(0.93357,-0.194426)
(0.181249,-0.51196)
(0.559412,0.212526)
(0.727759,-0.584795)
(0.091265,-0.0757101)
(0.90402,-0.0627067)
(0.284895,-0.585247)
(0.433599,0.21293)
(0.826832,-0.499778)
(0.0673272,-0.201003)
(0.839486,0.0528997)
(0.402708,-0.630339)
(0.304559,0.177982)
(0.893875,-0.379982)
(0.0854242,-0.320884)
(0.748808,0.149023)
(0.536597,-0.636106)
(0.198747,0.104118)
(0.927716,-0.24889)
(0.142268,-0.437294)
(0.628557,0.207035)
(0.661231,-0.598145)
(0.123105,0.00360227)
(0.918455,-0.116776)
(0.227304,-0.525587)
(0.501426,0.231648)
(0.771158,-0.524714)
(0.0834453,-0.110317)
(0.878166,0.00687342)
(0.336891,-0.587694)
(0.376161,0.220466)
(0.865193,-0.425603)
(0.0797134,-0.243368)
(0.795529,0.112898)
(0.466682,-0.611614)
(0.262876,0.158434)
(0.909511,-0.308191)
(0.111856,-0.359679)
(0.691583,0.186213)
(0.585176,-0.601581)
(0.163615,0.0812101)
(0.926495,-0.17286)
(0.178127,-0.463379)
(0.566835,0.23661)
(0.709662,-0.545434)
(0.103893,-0.02903)
(0.90096,-0.0402868)
(0.281164,-0.537396)
(0.443653,0.237999)
(0.807877,-0.463626)
(0.079005,-0.151442)
(0.838375,0.0726811)
(0.393279,-0.580004)
(0.321871,0.209645)
(0.879463,-0.352023)
(0.0931293,-0.2718)
(0.75042,0.166161)
(0.51983,-0.587821)
(0.218649,0.143369)
(0.916891,-0.228417)
(0.141699,-0.385409)
(0.639093,0.228264)
(0.642685,-0.561735)
(0.133084,0.047992)
(0.911929,-0.0922208)
(0.224466,-0.474601)
(0.513665,0.258658)
(0.757872,-0.489364)
(0.0956469,-0.0680628)
(0.872206,0.0267776)
(0.331261,-0.536854)
(0.391949,0.244149)
(0.842072,-0.397498)
(0.085633,-0.188714)
(0.799696,0.131719)
(0.45029,-0.566733)
(0.275628,0.197098)
(0.895531,-0.278937)
(0.115598,-0.302405)
(0.705721,0.212077)
(0.578279,-0.5628)
(0.181633,0.113776)
(0.913325,-0.157231)
(0.169755,-0.410872)
(0.578675,0.265583)
(0.697018,-0.510013)
(0.115779,0.0124661)
(0.894214,-0.0212981)
(0.270655,-0.486996)
(0.455409,0.27192)
(0.796972,-0.42682)
(0.0941638,-0.104528)
(0.841519,0.0892966)
(0.384099,-0.535865)
(0.33742,0.23889)
(0.863145,-0.327652)
(0.0951541,-0.220571)
(0.756477,0.189096)
(0.508327,-0.544892)
(0.23535,0.179835)
(0.906723,-0.207319)
(0.139709,-0.33493)
(0.649311,0.254578)
(0.632677,-0.522446)
(0.152148,0.0866381)
(0.908489,-0.0787802)
(0.21663,-0.432358)
(0.520473,0.282674)
(0.73853,-0.45526)
(0.104583,-0.0201684)
(0.872014,0.0470226)
(0.32208,-0.491652)
(0.404458,0.274728)
(0.827726,-0.368963)
(0.0902181,-0.140723)
(0.802494,0.15424)
(0.440257,-0.523198)
(0.289402,0.231194)
(0.884715,-0.252821)
(0.119507,-0.255487)
(0.709586,0.231498)
(0.561187,-0.520243)
(0.195565,0.156153)
(0.906505,-0.131402)
(0.174227,-0.359083)
(0.594874,0.283848)
(0.678256,-0.479537)
(0.125787,0.0579406)
(0.891839,-0.00140231)
(0.26406,-0.438319)
(0.472956,0.300014)
(0.782985,-0.402118)
(0.0975905,-0.0586001)
(0.842208,0.112388)
(0.375483,-0.48949)
(0.354778,0.272737)
(0.854468,-0.303082)
(0.1007,-0.174963)
(0.763116,0.20779)
(0.49574,-0.506969)
(0.247573,0.214619)
(0.895511,-0.183356)
(0.142015,-0.284671)
(0.660727,0.273685)
(0.614937,-0.487393)
(0.165055,0.129626)
(0.902544,-0.0597729)
(0.210478,-0.379955)
(0.540072,0.310613)
(0.72421,-0.428219)
(0.114454,0.0302734)
(0.883683,0.0651792)
(0.315208,-0.457997)
(0.414745,0.30254)
(0.815609,-0.344164)
(0.0941929,-0.0962444)
(0.807805,0.173182)
(0.428364,-0.486516)
(0.300793,0.263792)
(0.872723,-0.232021)
(0.115381,-0.208171)
(0.716506,0.257298)
(0.54848,-0.48292)
(0.207327,0.197053)
(0.902749,-0.109351)
(0.170157,-0.312746)
(0.607012,0.314407)
(0.673672,-0.445614)
(0.141362,0.0938708)
(0.890282,0.0134625)
(0.257966,-0.396863)
(0.486066,0.324125)
(0.768152,-0.377176)
(0.103528,-0.0144773)
(0.845839,0.129055)
(0.362799,-0.452042)
(0.365481,0.305497)
(0.845071,-0.279351)
(0.102842,-0.132923)
(0.765729,0.226383)
(0.480417,-0.467981)
(0.261591,0.252181)
(0.888602,-0.166234)
(0.134554,-0.241143)
(0.666972,0.301049)
(0.602617,-0.451987)
(0.175763,0.171303)
(0.902717,-0.0385135)
(0.208184,-0.339708)
(0.550881,0.333979)
(0.712819,-0.402745)
(0.11773,0.0641591)
(0.872169,0.0847014)
(0.303672,-0.40852)
(0.42845,0.332733)
(0.799431,-0.317457)
(0.0981795,-0.0465782)
(0.813479,0.193181)
(0.414668,-0.446659)
(0.313581,0.301024)
(0.86509,-0.208163)
(0.117776,-0.163103)
(0.723092,0.275407)
(0.529583,-0.44637)
(0.218267,0.240292)
(0.897298,-0.0868418)
(0.168335,-0.262399)
(0.625069,0.33744)
(0.656542,-0.421146)
(0.144565,0.141539)
(0.894066,0.0382609)
(0.25439,-0.355249)
(0.499828,0.351179)
(0.755015,-0.3517)
(0.108354,0.0319845)
